DCSDIABDX,Level,Number,SE,LL,UL,Percent,SE.1,LL.1,UL.1,Flags,year
2,GLIMEPIRIDE,213505,106492,75624,602776,1.1,0.6,0.3,2.9,Cx,2020
2,GLIPIZIDE,1019347,187256,708690,1466180,5.4,1,3.6,7.7,,2020
2,GLIPIZIDE ER,6150,4353,1,53777103,0,0,0,0.1,R  Cx,2020
2,GLIPIZIDE ER 24,74591,38008,24160,230293,0.4,0.2,0.1,1,Cx,2020
2,GLIPIZIDE XL,89217,45234,26689,298239,0.5,0.2,0.1,1.2,Cx,2020
2,GLYBURIDE,78796,49937,18686,332269,0.4,0.3,0.1,1.4,Cx,2020
2,HUMALOG,102191,102191,6362,1641379,0.5,0.5,0,3,Cx,2020
2,HUMALOG KWIK,326973,111016,161870,660473,1.7,0.6,0.8,3.2,,2020
2,HUMULIN N,46549,26931,3804,569619,0.2,0.1,0,0.7,R  Cx,2020
2,INSULIN,168615,119593,33834,840307,0.9,0.6,0.1,3.3,Cx,2020
2,INSULIN ASPA,263609,263609,26271,2645115,1.4,1.3,0,7.4,Cx  Px,2020
2,INSULIN ASPART 100U/ML,34031,24078,5517,209932,0.2,0.1,0,0.7,Cx,2020
2,INSULIN GLARGINE HUMAN RECOMBIANT ANALOG 100U/ML,22688,16052,2383,216034,0.1,0.1,0,0.4,R  Cx,2020
2,INSULIN LISP,172758,65939,74948,398213,0.9,0.3,0.4,1.8,Cx,2020
2,INSULIN NPH ISOPHANE & REGULAR HUMAN,57334,42554,9497,346143,0.3,0.2,0,1.2,Cx,2020
2,INSULIN NPH ISOPHANE & REGULAR HUMAN INJ,28667,21277,2213,371338,0.2,0.1,0,0.6,R  Cx,2020
2,JANUMET,38658,20722,10392,143808,0.2,0.1,0,0.6,Cx,2020
2,JANUVIA,457014,120233,269442,775164,2.4,0.6,1.3,4,,2020
2,JARDIANCE,531996,167048,283175,999451,2.8,0.9,1.3,5.1,,2020
2,LANTUS,580757,208216,283102,1191369,3.1,1.1,1.3,6.1,,2020
2,LANTUS EQ PEN,73944,38687,23033,237383,0.4,0.2,0.1,1,Cx,2020
2,LANTUS SOLOS,1319238,240199,919975,1891779,7,1.1,4.9,9.5,,2020
2,LEVEMIR,707051,243726,352953,1416396,3.7,1.2,1.8,6.8,Px,2020
2,METFORMIN,7199138,614367,6088391,8512526,37.9,2.6,32.7,43.4,,2020
2,METFORMIN 24 HR SUSTAINED RELEASE,61300,43382,6428,584602,0.3,0.2,0,1.2,R  Cx,2020
2,METFORMIN SR 24HR,26443,26443,1097,637431,0.1,0.1,0,0.8,R  Cx,2020
2,METFORMIN TAB,98592,51582,32004,303722,0.5,0.3,0.1,1.4,Cx,2020
2,METFORMIN/ SITAGLIPTIN,74591,38008,24160,230293,0.4,0.2,0.1,1,Cx,2020
2,NOVOLIN,11995,8778,0,8154028000,0.1,0,0,0.2,R  Cx,2020
2,NOVOLIN N,102034,72203,19133,544128,0.5,0.4,0.1,2,Cx,2020
2,NOVOLIN R,78904,46134,17309,359691,0.4,0.2,0.1,1.2,Cx,2020
2,NOVOLOG,930166,235643,561004,1542250,4.9,1.1,2.9,7.7,,2020
2,NOVOLOG EQ U-100 SUBQ PEN,24648,12896,4094,148385,0.1,0.1,0,0.4,R  Cx,2020
2,NOVOLOG MIX,176132,79927,68662,451813,0.9,0.4,0.3,2.2,Cx,2020
2,NOVOLOG PEN,73944,38687,23033,237383,0.4,0.2,0.1,1,Cx,2020
2,OZEMPIC,521069,172974,267871,1013594,2.7,0.9,1.3,5.1,,2020
2,PIOGLITAZONE,384391,104039,222310,664643,2,0.5,1.1,3.3,,2020
2,SYNJARDY,223815,158382,36262,1381439,1.2,0.8,0.1,4.2,Cx,2020
2,SYNJARDY XR,38213,27152,6112,238907,0.2,0.1,0,0.7,Cx,2020
2,TRADJENTA,173302,123458,34446,871902,0.9,0.6,0.1,3.3,Cx,2020
2,TRESIBA,210941,115007,68586,648758,1.1,0.6,0.2,3.2,Cx,2020
2,TRULICITY,1295199,326942,784778,2137598,6.8,1.5,4.2,10.4,,2020
2,VICTOZA,322517,125095,146007,712409,1.7,0.6,0.7,3.6,Cx,2020
1,ACTOS,606297,312622,214053,1717310,0.1,0.1,0,0.3,Cx,2021
1,ADMELOG,645528,258030,290878,1432578,0.1,0,0,0.2,Cx,2021
1,ADMELOG SOLO,1052729,280223,620972,1784683,0.2,0,0.1,0.3,,2021
1,ANTIDIABETIC COMBINATIONS,9414272,920547,7769556,11407154,1.7,0.2,1.4,2,,2021
1,BASAGLAR,10956615,928501,9277955,12938995,2,0.2,1.7,2.3,,2021
1,BASAGLAR INJ KWIKPEN,363563,214941,108218,1221401,0.1,0,0,0.2,Cx,2021
1,BASAGLAR INJ KWIKPEN 100UNIT,109069,64482,27536,432015,0,0,0,0.1,Cx,2021
1,DETEMIR,54928,27702,17070,176741,0,0,0,0,Cx,2021
1,DIPEPTIDYL PEPTIDASE 4 INHIBITORS,6258263,941275,4655805,8412262,1.1,0.2,0.8,1.5,,2021
1,FARXIGA,5970610,736712,4684699,7609492,1.1,0.1,0.8,1.4,,2021
1,FARXIGA TAB,388322,180874,152533,988598,0.1,0,0,0.2,Cx,2021
1,FIASP,110608,69340,26521,461294,0,0,0,0.1,Cx,2021
1,FIASP FLEX,520114,215125,226413,1194802,0.1,0,0,0.2,Cx,2021
1,GLIMEPIRIDE,19400586,1417582,16809922,22390511,3.5,0.2,3,4,,2021
1,GLIMEPIRIDE TAB,439422,221689,159521,1210445,0.1,0,0,0.2,Cx,2021
1,GLIPIZIDE,25496707,1444519,22815418,28493104,4.6,0.2,4.1,5.1,,2021
1,GLIPIZIDE ER,8495120,808934,7046625,10241366,1.5,0.1,1.3,1.8,,2021
1,GLIPIZIDE TAB,1100622,404748,528465,2292237,0.2,0.1,0.1,0.4,Cx,2021
1,GLIPIZIDE XL,186356,81792,75474,460137,0,0,0,0.1,Cx,2021
1,GLIPIZIDE XL TAB,35177,35177,0,11600940750,0,0,0,0,R  Cx,2021
1,GLUMETZA,281590,218707,54832,1446093,0.1,0,0,0.2,Cx,2021
1,GLYBURIDE,3981407,561098,3017130,5253867,0.7,0.1,0.5,0.9,,2021
1,GLYBURIDE TAB,40380,21802,11974,136171,0,0,0,0,Cx,2021
1,HUMALOG,11880609,1495965,9278008,15213272,2.1,0.3,1.7,2.7,,2021
1,HUMALOG JR,13006,13006,0,4289282455,0,0,0,0,R  Cx,2021
1,HUMALOG KWIK,7300733,650854,6128444,8697265,1.3,0.1,1.1,1.6,,2021
1,HUMULIN,3713564,524993,2811417,4905198,0.7,0.1,0.5,0.9,,2021
1,HUMULIN 70/30,32399,32399,0,10684877805,0,0,0,0,R  Cx,2021
1,INSULIN,14651243,1349906,12228428,17554088,2.6,0.2,2.2,3.1,,2021
1,INSULIN ASPA,3995324,605506,2963771,5385913,0.7,0.1,0.5,1,,2021
1,INSULIN ASPART,74848,44296,20114,278523,0,0,0,0,Cx,2021
1,INSULIN ASPART FLEXPEN,126129,65885,42520,374142,0,0,0,0.1,Cx,2021
1,INSULIN ASPART FLEXPEN-INJECTOR,66083,29468,22190,196803,0,0,0,0,Cx,2021
1,INSULIN DETEMIR INJ 100,279202,279202,30906,2522285,0,0,0,0.3,Cx,2021
1,INSULIN DETEMIR SOLN PEN-INJECTOR,69800,69800,945,5157946,0,0,0,0.1,R  Cx,2021
1,INSULIN GLARGINE HUMAN,79561,79561,3300,1917859,0,0,0,0.1,R  Cx,2021
1,INSULIN LISP,9345298,967295,7626835,11450961,1.7,0.2,1.4,2,,2021
1,INSULIN LISPRO,63714,45310,11803,343951,0,0,0,0,Cx,2021
1,JANUMET,6052022,890639,4530455,8084613,1.1,0.2,0.8,1.4,,2021
1,JANUMET TAB,13290,9402,2,110672851,0,0,0,0,R  Cx,2021
1,JANUMET XR,3009174,663402,1949573,4644673,0.5,0.1,0.3,0.8,,2021
1,JANUVIA,21694922,1640282,18704500,25163443,3.9,0.3,3.4,4.5,,2021
1,JARDIANCE,17543163,1089922,15530369,19816822,3.1,0.2,2.8,3.5,,2021
1,JARDIANCE TAB,165198,87335,56335,484432,0,0,0,0.1,Cx,2021
1,LANTUS,11240218,1074145,9317689,13559423,2,0.2,1.7,2.4,,2021
1,LANTUS INJ SOLOSTAR,121923,52931,48266,307981,0,0,0,0,Cx,2021
1,LANTUS SOLOS,21083471,1516090,18310013,24277030,3.8,0.3,3.3,4.3,,2021
1,LANTUS SOLOSTAR,331981,124516,153778,716693,0.1,0,0,0.1,Cx,2021
1,LANTUS SOLOSTAR INJ,57097,40398,12028,271043,0,0,0,0,Cx,2021
1,LEVEMIR,11063139,988876,9282985,13184665,2,0.2,1.7,2.3,,2021
1,LEVEMIR FLEXTOUCH,3488,3488,0,Inf,0,0,0,0,R  Cx,2021
1,LYUMJEV KWPN,206583,104027,72831,585963,0,0,0,0.1,Cx,2021
1,METFORMIN,212434310,6113337,200783065,224761666,38,0.6,36.8,39.3,,2021
1,METFORMIN ER,252390,72621,140689,452777,0,0,0,0.1,,2021
1,METFORMIN ER TAB,263815,188143,60250,1155170,0,0,0,0.2,Cx,2021
1,METFORMIN HCL,1225176,265131,798583,1879648,0.2,0,0.1,0.3,,2021
1,METFORMIN HCL 10%,10738,7661,1,212559252,0,0,0,0,R  Cx,2021
1,METFORMIN HCL ER,435545,163346,202868,935090,0.1,0,0,0.2,Cx,2021
1,METFORMIN HCL ER 24HR,219344,86879,94404,509637,0,0,0,0.1,Cx,2021
1,METFORMIN HCL TAB,700783,195804,398955,1230957,0.1,0,0.1,0.2,,2021
1,METFORMIN HCL TAB ER 24HR,1470316,543517,700287,3087062,0.3,0.1,0.1,0.5,Cx,2021
1,METFORMIN TAB,439422,221689,159521,1210445,0.1,0,0,0.2,Cx,2021
1,METFORMIN XR,696525,358497,246906,1964910,0.1,0.1,0,0.3,Cx,2021
1,NOVOLIN,2434093,477245,1654414,3581213,0.4,0.1,0.3,0.6,,2021
1,NOVOLIN 70/30,560295,196566,273308,1148636,0.1,0,0,0.2,,2021
1,NOVOLIN INJ FLEXPEN,90941,64529,16939,488236,0,0,0,0.1,Cx,2021
1,NOVOLOG,16725043,1236892,14466288,19336478,3,0.2,2.6,3.4,,2021
1,NOVOLOG FLEXPEN,114195,80796,26421,493562,0,0,0,0.1,Cx,2021
1,NOVOLOG INJ FLEXPEN,68206,48397,10956,424602,0,0,0,0,Cx,2021
1,OZEMPIC,17528420,1249857,15240038,20160417,3.1,0.2,2.7,3.6,,2021
1,PIOGLITAZONE,10254222,929952,8581984,12252303,1.8,0.2,1.5,2.2,,2021
1,PIOGLITAZONE HCI,83156,41705,27549,251002,0,0,0,0,Cx,2021
1,PIOGLITAZONE HCL TAB,302573,160531,96350,950187,0.1,0,0,0.1,Cx,2021
1,RYBELSUS,1884582,488089,1129079,3145616,0.3,0.1,0.2,0.6,,2021
1,SAXENDA,1418777,344102,876842,2295658,0.3,0.1,0.1,0.4,,2021
1,SEMGLEE,70291,33568,24774,199437,0,0,0,0,Cx,2021
1,SEMGLEE SOL,16487,9554,1327,204881,0,0,0,0,R  Cx,2021
1,SGLT-2 INHIBITORS,4355850,714279,3154191,6015309,0.8,0.1,0.6,1.1,,2021
1,TOUJEO MAX,1072004,271519,648492,1772100,0.2,0,0.1,0.3,,2021
1,TOUJEO MAX SOLOSTAR,70557,45824,15722,316644,0,0,0,0,Cx,2021
1,TOUJEO SOLO,2987394,526281,2111881,4225863,0.5,0.1,0.4,0.7,,2021
1,TOUJEO SOLO INJ 300IU,129669,77553,31996,525499,0,0,0,0.1,Cx,2021
1,TRESIBA,619170,213404,311114,1232255,0.1,0,0,0.2,,2021
1,TRESIBA FLEX,8525513,835412,7033244,10334402,1.5,0.1,1.3,1.8,,2021
1,TRESIBA FLEX 200UNIT,8504,6026,1,83262947,0,0,0,0,R  Cx,2021
1,TRESIBA FLEX INJ 100UNIT,58605,29975,17255,199041,0,0,0,0,Cx,2021
1,TRESIBA FLEXTOUCH,351628,179852,125500,985192,0.1,0,0,0.2,Cx,2021
1,TRULICITY,23531126,1914450,20060436,27602286,4.2,0.3,3.6,4.9,,2021
1,TRULICITY INJ,13460,7267,1877,96537,0,0,0,0,R  Cx,2021
1,TRULICITY INJ 1.5/0.5,21512,21512,892,518557,0,0,0,0,R  Cx,2021
1,VICTOZA,6399766,674356,5203070,7871701,1.1,0.1,0.9,1.4,,2021
1,VICTOZA INJ,109069,64482,27536,432015,0,0,0,0.1,Cx,2021
1,WEGOVY,440509,149477,219304,884836,0.1,0,0,0.2,,2021
2,ANTIDIABETIC COMBINATIONS,97880,48546,33327,287470,0.5,0.3,0.1,1.3,Cx,2021
2,DIPEPTIDYL PEPTIDASE 4 INHIBITORS,353575,109606,189239,660618,1.8,0.6,0.9,3.4,,2021
2,DULAGLUTIDE,44983,24160,6474,312566,0.2,0.1,0.1,0.6,R  Cx,2021
2,DULAGLUTIDE PEN-INJECTOR,43000,31916,5927,311991,0.2,0.2,0,0.9,Cx,2021
2,DULAGLUTIDE SOLN PEN-INJECTOR,318840,134915,134929,753424,1.7,0.7,0.6,3.8,Cx,2021
2,EMPAGLIFLOZIN,259602,116860,101921,661230,1.3,0.6,0.4,3.1,Cx,2021
2,GLIMEPIRIDE,442723,228026,155698,1258870,2.3,1.1,0.6,6,Cx  Px,2021
2,GLIPIZIDE,1381573,251623,963259,1981548,7.2,1.2,5,9.9,,2021
2,GLIPIZIDE ER,89217,45234,26689,298239,0.5,0.2,0.1,1.2,Cx,2021
2,GLIPIZIDE TAB,74591,38008,24160,230293,0.4,0.2,0.1,1,Cx,2021
2,GLIPIZIDE XL,33180,33180,449,2451837,0.2,0.2,0,1,R  Cx,2021
2,GLYBURIDE,74705,32602,27352,204037,0.4,0.2,0.1,0.9,Cx,2021
2,HUMALOG,189461,72477,84861,422991,1,0.4,0.4,2.1,Cx,2021
2,HUMALOG KWIK,197158,98997,68660,566137,1,0.5,0.3,2.7,Cx,2021
2,HUMULIN,96989,96989,10099,931464,0.5,0.5,0,2.9,Cx,2021
2,INSULIN,472838,178068,221444,1009626,2.5,0.9,1,5,Cx,2021
2,INSULIN ASPA,388618,161886,163583,923225,2,0.8,0.7,4.5,Cx,2021
2,INSULIN GLARGINE,145305,61990,58551,360598,0.8,0.3,0.3,1.7,Cx,2021
2,INSULIN LISP,141783,141783,10845,1853584,0.7,0.7,0,4.3,Cx,2021
2,JANUMET,375898,130929,183272,770979,2,0.7,0.8,3.9,,2021
2,JANUVIA,150924,60336,63617,358050,0.8,0.3,0.3,1.7,Cx,2021
2,JARDIANCE,1265487,305073,783776,2043257,6.6,1.3,4.2,9.8,,2021
2,LANTUS,713725,194583,413913,1230701,3.7,0.9,2,6.1,,2021
2,LANTUS INJ SOLOSTAR,73944,38687,23033,237383,0.4,0.2,0.1,1,Cx,2021
2,LANTUS SOLOS,712352,164034,449864,1127998,3.7,0.8,2.2,5.7,,2021
2,LEVEMIR,723320,185008,434470,1204208,3.8,0.9,2.1,6.1,,2021
2,METFORMIN,6531649,684754,5315907,8025429,34,2.2,29.6,38.5,,2021
2,METFORMIN 24HR,315301,159695,113445,876327,1.6,0.8,0.4,4.2,Cx,2021
2,METFORMIN HCL,450997,125529,257707,789262,2.3,0.7,1.2,4.1,,2021
2,METFORMIN HCL ER 24HR,88804,54380,21988,358664,0.5,0.3,0.1,1.5,Cx,2021
2,NOVOLIN,39380,27212,5566,278595,0.2,0.1,0,0.7,Cx,2021
2,NOVOLIN 70/30,28667,21277,2213,371338,0.1,0.1,0,0.6,R  Cx,2021
2,NOVOLOG,965146,242117,586106,1589312,5,1.2,2.9,8,,2021
2,NOVOLOG FLEXPEN,98592,51582,32004,303722,0.5,0.3,0.1,1.4,Cx,2021
2,NOVOLOG INJ FLEXPEN,38474,23463,9122,162271,0.2,0.1,0,0.6,Cx,2021
2,OZEMPIC,575078,215399,270744,1221504,3,1.1,1.3,5.9,Cx,2021
2,PIOGLITAZONE,351156,123711,172241,715916,1.8,0.6,0.8,3.4,,2021
2,SGLT-2 INHIBITORS,85775,43014,17264,426165,0.4,0.2,0.1,1.2,R  Cx,2021
2,TOUJEO SOLO,12303,12303,0,4057327613,0.1,0.1,0,0.4,R  Cx,2021
2,TRESIBA,98988,57316,27649,354391,0.5,0.3,0.1,1.6,Cx,2021
2,TRULICITY,477462,115388,293236,777431,2.5,0.6,1.5,3.9,,2021
2,VICTOZA,219056,83464,99497,482280,1.1,0.4,0.4,2.4,Cx,2021
